0.042,0.023,0.108
0.042,0.027,0.138
0.041,0.029,0.154
0.041,0.030,0.161
0.040,0.031,0.167
0.040,0.032,0.173
0.040,0.032,0.179
0.041,0.032,0.183
0.041,0.032,0.188
0.041,0.033,0.192
0.041,0.033,0.196
0.041,0.033,0.200
0.041,0.033,0.204
0.041,0.033,0.207
0.041,0.033,0.211
0.041,0.033,0.214
0.041,0.033,0.217
0.041,0.033,0.220
0.042,0.033,0.223
0.042,0.033,0.226
0.042,0.033,0.229
0.042,0.033,0.232
0.042,0.033,0.235
0.042,0.033,0.237
0.042,0.033,0.240
0.042,0.033,0.243
0.043,0.033,0.245
0.043,0.033,0.248
0.043,0.033,0.250
0.043,0.033,0.252
0.043,0.033,0.255
0.043,0.033,0.257
0.043,0.033,0.259
0.043,0.033,0.262
0.044,0.033,0.264
0.044,0.032,0.266
0.044,0.032,0.268
0.044,0.032,0.270
0.044,0.032,0.272
0.044,0.032,0.274
0.044,0.032,0.276
0.044,0.032,0.278
0.045,0.032,0.280
0.045,0.032,0.282
0.045,0.032,0.284
0.045,0.032,0.286
0.045,0.031,0.288
0.045,0.031,0.290
0.045,0.031,0.292
0.045,0.031,0.294
0.046,0.031,0.296
0.046,0.031,0.298
0.046,0.031,0.299
0.046,0.031,0.301
0.046,0.031,0.303
0.046,0.031,0.305
0.046,0.030,0.306
0.046,0.030,0.308
0.046,0.030,0.310
0.046,0.031,0.311
0.046,0.032,0.313
0.046,0.031,0.315
0.046,0.031,0.316
0.046,0.031,0.318
0.047,0.031,0.320
0.047,0.031,0.321
0.047,0.031,0.323
0.047,0.031,0.324
0.047,0.031,0.326
0.047,0.031,0.328
0.047,0.031,0.329
0.047,0.031,0.331
0.047,0.031,0.332
0.047,0.031,0.334
0.047,0.032,0.335
0.047,0.032,0.337
0.047,0.032,0.338
0.047,0.032,0.340
0.047,0.032,0.341
0.047,0.032,0.343
0.047,0.032,0.344
0.047,0.032,0.345
0.047,0.032,0.347
0.047,0.032,0.348
0.047,0.032,0.350
0.047,0.032,0.351
0.047,0.032,0.352
0.048,0.032,0.354
0.048,0.032,0.355
0.048,0.032,0.356
0.048,0.032,0.358
0.048,0.032,0.359
0.048,0.032,0.360
0.048,0.032,0.362
0.048,0.032,0.363
0.048,0.032,0.364
0.048,0.032,0.366
0.048,0.032,0.367
0.048,0.032,0.368
0.048,0.033,0.370
0.048,0.033,0.371
0.048,0.033,0.372
0.048,0.033,0.373
0.048,0.033,0.375
0.048,0.033,0.376
0.048,0.033,0.377
0.048,0.033,0.378
0.048,0.033,0.379
0.048,0.033,0.381
0.048,0.033,0.382
0.048,0.033,0.383
0.048,0.033,0.384
0.048,0.033,0.385
0.048,0.033,0.387
0.048,0.034,0.388
0.048,0.034,0.389
0.047,0.034,0.390
0.047,0.034,0.391
0.047,0.034,0.392
0.047,0.034,0.394
0.047,0.034,0.395
0.047,0.034,0.396
0.047,0.034,0.397
0.047,0.034,0.398
0.047,0.034,0.399
0.047,0.034,0.400
0.047,0.035,0.401
0.047,0.035,0.403
0.047,0.035,0.404
0.047,0.035,0.405
0.047,0.035,0.406
0.047,0.035,0.407
0.047,0.035,0.408
0.047,0.035,0.409
0.047,0.035,0.410
0.047,0.035,0.411
0.047,0.035,0.412
0.047,0.036,0.413
0.047,0.036,0.414
0.047,0.036,0.415
0.047,0.036,0.416
0.047,0.036,0.417
0.046,0.036,0.418
0.046,0.036,0.419
0.046,0.036,0.420
0.046,0.036,0.421
0.046,0.037,0.422
0.046,0.037,0.423
0.046,0.037,0.424
0.046,0.037,0.425
0.046,0.037,0.426
0.046,0.037,0.427
0.046,0.037,0.428
0.046,0.037,0.429
0.046,0.037,0.430
0.046,0.038,0.431
